State, FIPS,Cases_Per100000,Cases_Per100000_LCI,Cases_Per100000_UCI,Average Annual Count,Recent Trend,Trend_in_5_year,Trend_LCI,Trend_UCI,Counties,SEER,NPCR
US,0.0,448.0,447.7,448.4,1638110.0,falling,-0.9,-1.6,-0.1,Null,1.0,10.0
Florida,12125.0,1135.0,1063.6,1210.1,208.0,falling,-4.6,-5.1,-4.1,Union County,6.0,10.0
Nebraska,31113.0,677.2,455.0,974.3,7.0,stable,1.2,-41.0,73.4,Logan County,6.0,10.0
Kentucky,21197.0,646.2,586.6,710.3,92.0,stable,1.1,-0.4,2.6,Powell County,7.0,8.0
Kentucky,21217.0,623.3,583.7,665.0,196.0,rising,1.4,0.7,2.2,Taylor County,7.0,8.0
Kentucky,21201.0,611.6,486.8,761.3,19.0,stable,2.2,-1.0,5.6,Robertson County,7.0,8.0
Kentucky,21181.0,603.0,532.0,681.5,55.0,stable,1.4,-0.5,3.3,Nicholas County,7.0,8.0
Nebraska,31009.0,598.0,350.7,970.8,4.0,stable,7.8,-16.9,39.9,Blaine County,6.0,10.0
South Dakota,46077.0,597.8,516.0,690.1,45.0,stable,0.6,-17.5,22.6,Kingsbury County,6.0,10.0
Kentucky,21065.0,597.4,547.0,651.6,110.0,stable,-7.8,-19.5,5.6,Estill County,7.0,8.0
Kentucky,21041.0,596.8,535.9,662.9,74.0,stable,0.0,-1.2,1.1,Carroll County,7.0,8.0
Montana,30037.0,596.4,413.3,848.3,8.0,stable,-7.1,-32.6,28.1,Golden Valley County,6.0,10.0
Nebraska,31171.0,594.4,378.6,896.6,6.0,stable,-14.3,-28.2,2.3,Thomas County,6.0,10.0
Nebraska,31163.0,593.5,482.4,724.2,26.0,stable,10.5,-8.7,33.6,Sherman County,6.0,10.0
Iowa,19147.0,593.2,530.2,661.9,75.0,stable,11.4,-1.1,25.5,Palo Alto County,7.0,8.0
Arkansas,5147.0,592.7,522.0,671.0,57.0,stable,5.3,-12.2,26.4,Woodruff County,6.0,10.0
Louisiana,22025.0,592.1,531.9,657.6,74.0,stable,-6.6,-14.4,2.0,Catahoula Parish,7.0,8.0
Kentucky,21193.0,590.7,553.4,629.8,199.0,stable,0.6,-0.3,1.5,Perry County,7.0,8.0
Kentucky,21071.0,589.8,558.2,622.8,279.0,stable,-0.3,-0.8,0.2,Floyd County,7.0,8.0
Kentucky,21223.0,589.5,523.9,661.4,62.0,stable,1.9,-0.2,4.0,Trimble County,7.0,8.0
Kentucky,21127.0,589.5,540.5,641.8,115.0,stable,0.7,-0.2,1.6,Lawrence County,7.0,8.0
Georgia,13227.0,580.8,547.2,616.1,249.0,rising,1.2,0.2,2.1,Pickens County,7.0,8.0
Kentucky,21043.0,580.6,543.8,619.2,197.0,stable,0.9,0.0,1.9,Carter County,7.0,8.0
Texas,48373.0,576.4,549.4,604.6,374.0,stable,0.4,-3.6,4.6,Polk County,6.0,10.0
Montana,30079.0,575.0,424.6,773.5,12.0,stable,11.7,-31.2,81.1,Prairie County,6.0,10.0
Kentucky,21189.0,574.6,489.2,671.7,35.0,stable,1.0,-1.4,3.5,Owsley County,7.0,8.0
South Dakota,46061.0,572.8,459.2,705.8,20.0,stable,7.5,-8.6,26.4,Hanson County,6.0,10.0
Kentucky,21167.0,572.7,532.4,615.4,160.0,stable,0.5,-0.6,1.6,Mercer County,7.0,8.0
Kentucky,21023.0,571.9,507.1,643.2,59.0,stable,0.9,-1.3,3.3,Bracken County,7.0,8.0
Kentucky,21237.0,571.7,504.2,646.4,56.0,stable,-0.7,-2.2,0.8,Wolfe County,7.0,8.0
North Carolina,37173.0,571.5,522.8,623.8,108.0,stable,2.5,-5.2,10.7,Swain County,6.0,10.0
South Dakota,46097.0,569.8,452.8,710.8,20.0,stable,-1.8,-30.3,38.2,Miner County,6.0,10.0
West Virginia,54015.0,569.1,508.3,635.8,68.0,stable,-2.5,-13.7,10.2,Clay County,6.0,10.0
Kentucky,21049.0,566.7,535.1,599.8,251.0,stable,-4.6,-12.6,4.1,Clark County,7.0,8.0
West Virginia,54059.0,565.7,527.9,605.6,181.0,stable,1.6,-16.1,22.9,Mingo County,6.0,10.0
Mississippi,28161.0,565.6,514.2,621.2,96.0,stable,-6.7,-16.0,3.6,Yalobusha County,6.0,10.0
Illinois,17107.0,565.5,531.5,601.1,216.0,stable,-0.1,-4.2,4.3,Logan County,6.0,10.0
North Dakota,38065.0,564.3,431.2,728.6,15.0,stable,7.4,-11.8,30.9,Oliver County,6.0,10.0
Kentucky,21229.0,563.5,509.9,621.5,85.0,rising,1.5,0.1,3.0,Washington County,7.0,8.0
Kentucky,21171.0,563.1,507.7,623.3,81.0,rising,2.0,0.4,3.6,Monroe County,7.0,8.0
West Virginia,54045.0,563.0,531.9,595.6,266.0,stable,-1.0,-8.9,7.6,Logan County,6.0,10.0
Wisconsin,55125.0,562.8,527.0,600.9,230.0,stable,-1.7,-12.5,10.5,Vilas County,6.0,10.0
Georgia,13281.0,562.7,509.9,620.5,116.0,stable,0.1,-1.1,1.3,Towns County,7.0,8.0
New Jersey,34009.0,561.5,543.8,579.8,878.0,stable,-0.3,-0.8,0.1,Cape May County,7.0,8.0
New York,36041.0,561.1,484.6,649.2,49.0,stable,-0.8,-2.4,0.9,Hamilton County,7.0,8.0
Iowa,19053.0,560.6,493.8,634.5,57.0,stable,0.5,-0.2,1.2,Decatur County,7.0,8.0
Kentucky,21155.0,560.0,516.3,606.5,127.0,stable,-0.2,-1.2,0.8,Marion County,7.0,8.0
Kentucky,21051.0,560.0,517.4,605.2,135.0,rising,1.0,0.2,1.8,Clay County,7.0,8.0
Kentucky,21025.0,559.6,507.9,615.4,92.0,stable,1.4,-0.1,3.0,Breathitt County,7.0,8.0
Kentucky,21121.0,559.5,525.7,595.0,214.0,stable,0.5,-0.4,1.3,Knox County,7.0,8.0
Kentucky,21135.0,557.0,507.8,610.1,99.0,stable,1.0,-0.1,2.1,Lewis County,7.0,8.0
New Jersey,34033.0,556.5,533.2,580.5,460.0,stable,-0.1,-0.5,0.2,Salem County,7.0,8.0
Kentucky,21011.0,556.4,502.8,614.4,83.0,stable,-1.5,-3.4,0.5,Bath County,7.0,8.0
Kentucky,21173.0,555.9,519.1,594.7,177.0,stable,0.5,-0.3,1.4,Montgomery County,7.0,8.0
Iowa,19059.0,555.9,514.1,600.6,153.0,stable,0.4,-0.1,0.9,Dickinson County,7.0,8.0
Kentucky,21129.0,555.9,487.3,632.2,51.0,stable,0.9,-0.9,2.8,Lee County,7.0,8.0
Ohio,39163.0,555.5,504.1,611.1,91.0,stable,5.4,-0.7,11.8,Vinton County,6.0,10.0
Illinois,17039.0,554.2,509.6,602.0,121.0,stable,-0.8,-13.0,13.2,De Witt County,6.0,10.0
New York,36113.0,554.0,531.9,577.0,516.0,stable,0.2,-0.7,1.2,Warren County,7.0,8.0
Kentucky,21149.0,553.5,495.1,617.5,69.0,stable,0.8,-0.3,1.9,McLean County,7.0,8.0
Kentucky,21029.0,553.2,530.7,576.5,485.0,stable,0.2,-0.5,0.9,Bullitt County,7.0,8.0
Kentucky,21203.0,553.2,507.9,601.6,117.0,rising,0.9,0.2,1.7,Rockcastle County,7.0,8.0
Pennsylvania,42093.0,553.1,511.2,597.7,143.0,stable,1.2,-5.3,8.2,Montour County,6.0,10.0
Mississippi,28051.0,553.0,506.7,602.6,110.0,stable,4.9,-3.5,14.1,Holmes County,6.0,10.0
Illinois,17055.0,552.9,524.4,582.6,301.0,stable,-1.4,-9.5,7.3,Franklin County,6.0,10.0
North Dakota,38075.0,551.8,442.1,682.4,19.0,stable,7.5,-17.3,39.8,Renville County,6.0,10.0
Kentucky,21053.0,551.3,495.6,612.0,76.0,stable,1.1,-1.0,3.2,Clinton County,7.0,8.0
Kentucky,21095.0,549.8,514.7,586.7,196.0,stable,0.4,-0.7,1.6,Harlan County,7.0,8.0
Michigan,26133.0,549.2,512.2,588.5,177.0,stable,-0.7,-19.6,22.7,Osceola County,6.0,10.0
Kentucky,21125.0,549.0,524.2,574.7,387.0,stable,0.4,-0.1,0.9,Laurel County,7.0,8.0
Kentucky,21133.0,548.7,510.9,588.8,169.0,stable,0.1,-0.8,1.1,Letcher County,7.0,8.0
New York,36029.0,548.5,542.3,554.7,6416.0,stable,-0.4,-1.2,0.4,Erie County,7.0,8.0
South Dakota,46087.0,548.4,470.2,636.4,39.0,falling,-7.4,-11.8,-2.9,McCook County,6.0,10.0
Kentucky,21131.0,548.3,492.8,608.7,76.0,stable,0.9,-0.4,2.3,Leslie County,7.0,8.0
Illinois,17115.0,547.9,530.2,566.0,786.0,stable,0.0,-1.8,1.9,Macon County,6.0,10.0
Illinois,17171.0,547.5,472.8,632.0,40.0,stable,-5.6,-14.2,4.0,Scott County,6.0,10.0
Kentucky,21137.0,546.4,509.3,585.5,169.0,stable,0.3,-0.1,0.7,Lincoln County,7.0,8.0
Kentucky,21207.0,546.2,503.9,591.5,132.0,stable,0.6,-0.7,1.8,Russell County,7.0,8.0
Indiana,18109.0,546.1,523.2,569.7,457.0,stable,1.4,-2.6,5.5,Morgan County,6.0,10.0
Georgia,13291.0,546.0,510.5,583.9,226.0,stable,0.4,-0.7,1.4,Union County,7.0,8.0
New York,36035.0,546.0,521.4,571.5,396.0,stable,-0.2,-0.9,0.5,Fulton County,7.0,8.0
Alaska,2290.0,545.7,460.2,642.6,32.0,stable,5.9,-15.2,32.3,Yukon-Koyukuk Census Area,6.0,10.0
Illinois,17021.0,545.6,515.1,577.6,252.0,stable,2.8,-4.1,10.1,Christian County,6.0,10.0
West Virginia,54101.0,545.0,486.6,609.3,71.0,stable,-1.2,-17.3,18.0,Webster County,6.0,10.0
Virginia,51730.0,544.7,512.0,579.0,221.0,stable,-0.7,-6.5,5.4,Petersburg City,6.0,10.0
Kentucky,21195.0,544.4,520.9,568.8,428.0,stable,0.1,-0.3,0.5,Pike County,7.0,8.0
Tennessee,47067.0,544.3,476.2,620.3,51.0,stable,-2.2,-21.2,21.4,Hancock County,6.0,10.0
Missouri,29093.0,543.7,490.1,602.1,82.0,stable,-0.1,-15.0,17.4,Iron County,6.0,10.0
Georgia,13177.0,542.6,502.8,584.7,154.0,stable,1.2,0.0,2.5,Lee County,7.0,8.0
Kentucky,21179.0,542.4,513.3,572.7,275.0,stable,-0.4,-1.3,0.5,Nelson County,7.0,8.0
South Dakota,46055.0,542.0,425.5,686.1,17.0,falling,-13.9,-23.8,-2.6,Haakon County,6.0,10.0
Arkansas,5111.0,542.0,505.1,581.0,168.0,stable,2.3,-2.7,7.6,Poinsett County,6.0,10.0
Iowa,19033.0,541.7,514.7,569.9,336.0,rising,0.5,0.1,0.8,Cerro Gordo County,7.0,8.0
West Virginia,54005.0,541.3,503.7,581.2,166.0,stable,1.5,-3.7,7.0,Boone County,6.0,10.0
Arkansas,5013.0,541.2,467.2,624.9,41.0,stable,6.0,-10.7,25.7,Calhoun County,6.0,10.0
New York,36063.0,541.0,528.6,553.7,1534.0,stable,-0.1,-0.5,0.2,Niagara County,7.0,8.0
Illinois,17063.0,540.9,512.7,570.3,287.0,stable,-0.3,-5.2,4.9,Grundy County,6.0,10.0
Mississippi,28037.0,540.8,476.8,611.7,55.0,stable,3.6,-23.1,39.6,Franklin County,6.0,10.0
Kentucky,21199.0,540.8,518.1,564.4,452.0,stable,-0.2,-0.7,0.3,Pulaski County,7.0,8.0
Missouri,29083.0,540.8,503.6,580.4,170.0,stable,1.1,-6.2,9.0,Henry County,6.0,10.0
Oklahoma,40075.0,540.1,481.4,604.6,67.0,stable,-4.0,-19.5,14.6,Kiowa County,6.0,10.0
Kentucky,21079.0,540.0,496.3,586.9,119.0,stable,-0.5,-1.6,0.7,Garrard County,7.0,8.0
Kentucky,21161.0,539.7,495.7,586.7,118.0,stable,0.0,-1.0,1.1,Mason County,7.0,8.0
New Jersey,34015.0,539.5,528.2,551.0,1813.0,falling,-8.4,-13.5,-3.0,Gloucester County,7.0,8.0
Georgia,13287.0,538.8,475.8,608.2,56.0,stable,0.3,-1.4,2.0,Turner County,7.0,8.0
Kentucky,21005.0,538.7,498.0,581.8,136.0,stable,-0.1,-1.2,1.0,Anderson County,7.0,8.0
Kentucky,21093.0,538.5,519.2,558.5,606.0,stable,-0.1,-0.5,0.3,Hardin County,7.0,8.0
Virginia,51183.0,538.3,486.1,595.1,81.0,stable,3.2,-1.3,8.1,Sussex County,6.0,10.0
Mississippi,28011.0,538.1,504.0,573.8,200.0,stable,-3.9,-13.7,6.9,Bolivar County,6.0,10.0
Iowa,19073.0,537.8,480.7,600.5,73.0,rising,1.1,0.1,2.0,Greene County,7.0,8.0
Illinois,17137.0,537.6,507.0,569.8,247.0,stable,2.5,-2.6,8.0,Morgan County,6.0,10.0
Kentucky,21069.0,536.9,489.0,588.5,98.0,stable,0.0,-1.1,1.2,Fleming County,7.0,8.0
Louisiana,22037.0,536.8,495.5,580.8,135.0,stable,0.2,-0.9,1.4,East Feliciana Parish,7.0,8.0
Florida,12053.0,536.7,524.0,549.7,1617.0,stable,-1.9,-4.6,1.0,Hernando County,6.0,10.0
Kentucky,21081.0,536.5,496.0,579.4,137.0,stable,0.3,-0.5,1.1,Grant County,7.0,8.0
South Dakota,46099.0,536.4,520.9,552.3,967.0,stable,-3.6,-10.0,3.3,Minnehaha County,6.0,10.0
Georgia,13293.0,536.2,501.3,573.0,186.0,stable,0.6,-0.3,1.5,Upson County,7.0,8.0
South Dakota,46127.0,535.8,487.3,588.1,96.0,stable,-5.6,-12.2,1.4,Union County,6.0,10.0
Kentucky,21147.0,535.7,490.9,583.7,111.0,stable,-0.2,-1.7,1.3,McCreary County,7.0,8.0
Montana,30061.0,535.3,450.8,633.1,37.0,stable,-0.8,-24.3,30.1,Mineral County,6.0,10.0
Louisiana,22035.0,535.1,465.3,612.6,43.0,stable,0.3,-1.3,2.0,East Carroll Parish,7.0,8.0
New York,36013.0,535.1,519.3,551.2,946.0,stable,0.2,-0.3,0.7,Chautauqua County,7.0,8.0
North Dakota,38073.0,535.0,457.9,622.1,40.0,falling,-12.1,-16.8,-7.1,Ransom County,6.0,10.0
Delaware,10001.0,534.8,520.3,549.6,1070.0,stable,-1.0,-2.7,0.8,Kent County,6.0,10.0
Louisiana,22067.0,534.4,498.8,571.9,179.0,stable,0.3,-0.6,1.3,Morehouse Parish,7.0,8.0
Montana,30103.0,533.9,356.0,794.8,7.0,stable,-4.8,-41.7,55.5,Treasure County,6.0,10.0
Illinois,17065.0,533.7,475.0,598.3,64.0,stable,-2.6,-14.9,11.5,Hamilton County,6.0,10.0
Kentucky,21115.0,533.6,495.5,574.0,154.0,stable,0.4,-0.4,1.2,Johnson County,7.0,8.0
Kentucky,21085.0,533.2,497.2,571.2,173.0,stable,0.6,-0.6,1.9,Grayson County,7.0,8.0
Kentucky,21099.0,533.1,490.5,578.6,123.0,stable,0.9,-0.5,2.2,Hart County,7.0,8.0
Kentucky,21183.0,533.1,496.0,572.3,160.0,stable,0.9,-0.2,2.0,Ohio County,7.0,8.0
Illinois,17003.0,533.1,468.2,605.1,54.0,stable,3.9,-8.7,18.2,Alexander County,6.0,10.0
South Dakota,46107.0,533.0,422.3,667.6,22.0,stable,-8.0,-40.1,41.4,Potter County,6.0,10.0
Florida,12089.0,532.9,512.8,553.6,584.0,stable,2.2,-3.3,8.0,Nassau County,6.0,10.0
Michigan,26143.0,532.7,497.5,570.2,238.0,stable,2.1,-5.9,10.8,Roscommon County,6.0,10.0
Kentucky,21111.0,532.7,525.8,539.7,4723.0,falling,-0.4,-0.7,-0.2,Jefferson County,7.0,8.0
Illinois,17121.0,532.6,503.8,562.6,277.0,stable,0.2,-4.1,4.6,Marion County,6.0,10.0
New York,36045.0,532.5,513.4,552.2,604.0,stable,0.0,-0.6,0.6,Jefferson County,7.0,8.0
Kentucky,21017.0,532.4,492.4,575.0,138.0,stable,-0.8,-1.9,0.3,Bourbon County,7.0,8.0
Iowa,19133.0,532.4,475.8,594.7,76.0,stable,0.4,-0.3,1.0,Monona County,7.0,8.0
Wisconsin,55085.0,532.4,504.5,561.6,314.0,stable,-2.7,-11.5,6.9,Oneida County,6.0,10.0
New York,36075.0,532.2,514.8,550.1,752.0,stable,-0.4,-0.9,0.1,Oswego County,7.0,8.0
Louisiana,22047.0,531.9,499.1,566.3,205.0,falling,-2.9,-4.2,-1.6,Iberville Parish,7.0,8.0
Illinois,17061.0,531.8,483.9,583.6,96.0,stable,3.6,-11.5,21.4,Greene County,6.0,10.0
Illinois,17025.0,531.6,483.8,583.1,99.0,stable,2.6,-5.2,11.1,Clay County,6.0,10.0
Georgia,13187.0,531.1,496.4,567.7,191.0,stable,0.0,-1.1,1.2,Lumpkin County,7.0,8.0
Kentucky,21185.0,530.9,504.7,558.0,348.0,falling,-0.8,-1.3,-0.3,Oldham County,7.0,8.0
New York,36121.0,530.6,501.9,560.6,270.0,stable,0.1,-1.0,1.1,Wyoming County,7.0,8.0
Tennessee,47025.0,530.6,498.8,563.9,225.0,stable,0.8,-8.2,10.7,Claiborne County,6.0,10.0
Oregon,41055.0,530.4,407.5,684.5,15.0,stable,-6.0,-30.8,27.7,Sherman County,6.0,10.0
New York,36103.0,530.3,525.5,535.2,9577.0,falling,-0.9,-1.5,-0.4,Suffolk County,7.0,8.0
Illinois,17017.0,530.3,480.5,584.0,87.0,stable,3.3,-10.2,18.8,Cass County,6.0,10.0
Illinois,17153.0,530.1,458.7,610.6,44.0,stable,-2.7,-13.7,9.7,Pulaski County,6.0,10.0
Kentucky,21087.0,529.9,477.9,586.5,82.0,rising,1.7,0.6,2.8,Green County,7.0,8.0
Pennsylvania,42047.0,529.7,498.6,562.4,241.0,stable,2.4,-3.4,8.6,Elk County,6.0,10.0
New Jersey,34005.0,529.6,520.9,538.5,2931.0,falling,-7.8,-12.3,-3.1,Burlington County,7.0,8.0
New York,36083.0,529.4,514.5,544.5,1026.0,stable,0.7,-1.6,2.9,Rensselaer County,7.0,8.0
Kentucky,21057.0,529.3,464.3,601.8,53.0,stable,3.5,-12.0,21.8,Cumberland County,7.0,8.0
New York,36017.0,528.8,503.6,555.0,359.0,stable,0.4,-0.2,1.1,Chenango County,7.0,8.0
North Dakota,38081.0,528.7,440.0,631.3,28.0,stable,2.0,-36.2,63.1,Sargent County,6.0,10.0
Illinois,17167.0,528.7,515.5,542.1,1288.0,stable,1.9,-1.3,5.2,Sangamon County,6.0,10.0
Louisiana,22097.0,528.4,507.6,549.9,509.0,stable,0.3,-0.2,0.9,St. Landry Parish,7.0,8.0
New York,36091.0,528.3,516.0,540.9,1478.0,stable,-0.2,-0.6,0.3,Saratoga County,7.0,8.0
Louisiana,22031.0,528.3,493.3,565.2,179.0,stable,-0.1,-0.8,0.7,De Soto Parish,7.0,8.0
Pennsylvania,42095.0,528.0,517.5,538.6,2063.0,stable,-0.9,-3.2,1.4,Northampton County,6.0,10.0
Virginia,51620.0,527.8,464.9,597.1,56.0,stable,6.2,-4.1,17.7,Franklin City,6.0,10.0
Missouri,29133.0,527.8,479.8,579.5,92.0,stable,5.9,-4.5,17.6,Mississippi County,6.0,10.0
Louisiana,22121.0,527.4,488.6,568.5,144.0,stable,-0.4,-1.5,0.8,West Baton Rouge Parish,7.0,8.0
Tennessee,47005.0,527.1,485.2,572.0,130.0,stable,-1.8,-10.3,7.5,Benton County,6.0,10.0
Montana,30029.0,527.0,508.2,546.2,651.0,stable,-1.8,-3.6,0.1,Flathead County,6.0,10.0
Nevada,32009.0,526.9,349.8,780.7,7.0,stable,7.8,-32.9,73.2,Esmeralda County,6.0,10.0
Missouri,29127.0,526.7,492.4,562.8,187.0,stable,2.8,-1.4,7.2,Marion County,6.0,10.0
New York,36073.0,526.6,498.4,556.0,276.0,stable,0.1,-0.6,0.8,Orleans County,7.0,8.0
Georgia,13029.0,526.5,489.8,565.2,163.0,stable,0.7,-0.3,1.6,Bryan County,7.0,8.0
Arkansas,5095.0,526.4,465.6,593.8,60.0,stable,6.5,-1.8,15.5,Monroe County,6.0,10.0
Kentucky,21019.0,526.4,501.0,552.8,341.0,falling,-0.7,-1.3,-0.2,Boyd County,7.0,8.0
Mississippi,28043.0,526.0,487.1,567.3,142.0,stable,-4.7,-13.7,5.2,Grenada County,6.0,10.0
Kentucky,21153.0,525.8,474.3,581.6,81.0,stable,0.0,-1.4,1.4,Magoffin County,7.0,8.0
Kentucky,21141.0,525.7,491.2,562.2,182.0,stable,-0.1,-1.1,1.0,Logan County,7.0,8.0
Louisiana,22013.0,525.7,478.5,576.6,99.0,stable,-0.3,-1.8,1.2,Bienville Parish,7.0,8.0
North Dakota,38043.0,525.5,414.8,659.0,19.0,stable,4.2,-34.0,64.6,Kidder County,6.0,10.0
Kentucky,21089.0,525.4,496.7,555.6,265.0,stable,-4.6,-9.3,0.4,Greenup County,7.0,8.0
Nebraska,31071.0,525.4,402.9,677.5,17.0,stable,-9.9,-29.5,15.1,Garfield County,6.0,10.0
Iowa,19003.0,525.1,438.2,625.8,30.0,rising,1.5,0.7,2.3,Adams County,7.0,8.0
Missouri,29187.0,525.0,502.3,548.5,413.0,stable,-1.3,-4.6,2.1,St. Francois County,6.0,10.0
Kentucky,21235.0,525.0,493.8,557.8,221.0,stable,0.3,-0.3,0.9,Whitley County,7.0,8.0
Kentucky,21211.0,524.8,496.3,554.5,269.0,stable,-0.1,-0.9,0.7,Shelby County,7.0,8.0
