sitename,score,regionID,city,state,Latitude,Longitude,Federal_Facility_Indicator,Partial_Deletion,Listing_year,Listing_month,Listing_day,Proposed_year,Proposed_month,Proposed_day,Construction_year,Construction_month,Construction_day
Beacon Heights Landfill,46.77,1,Beacon Falls,Connecticut,41.43195,-73.035281,no,no,1982,12,30,1983,9,8,1998,9,9
Solvents Recovery Service of New England,44.93,1,Southington,Connecticut,41.6196,-72.878,no,no,1982,12,30,1983,9,8,2018,9,4
Yaworski Waste Lagoon,36.72,1,Canterbury,Connecticut,41.66945,-71.964161,no,no,1982,12,30,1983,9,8,2000,9,20
Kellogg-Deering Well Field,39.92,1,Norwalk,Connecticut,41.13055,-73.43195,no,no,1983,9,8,1984,9,21,1996,9,23
Durham Meadows,33.94,1,Durham,Connecticut,41.48111,-72.681388,no,no,1988,6,24,1989,10,4,0,0,0
Baird & McGuire,66.35,1,Holbrook,Massachusetts,42.149719,-71.028611,no,no,1982,12,30,1983,9,8,2003,9,26
Charles-George Reclamation Trust Landfill,47.2,1,Tyngsborough,Massachusetts,42.66945,-71.443339,no,no,1982,12,30,1983,9,8,1998,9,25
Groveland Wells,40.74,1,Groveland,Massachusetts,42.753331,-71.038889,no,no,1982,12,30,1983,9,8,2000,6,29
Hocomonco Pond,44.8,1,Westborough,Massachusetts,42.272781,-71.650831,no,no,1982,12,30,1983,9,8,1999,9,22
Industri-Plex,72.42,1,Woburn,Massachusetts,42.516669,-71.141669,no,no,1982,12,30,1983,9,8,2017,6,22
Nyanza Chemical Waste Dump,69.22,1,Ashland,Massachusetts,42.258611,-71.473611,no,no,1982,12,30,1983,9,8,0,0,0
PSC Resources,38.66,1,Palmer,Massachusetts,42.153331,-72.330281,no,no,1982,12,30,1983,9,8,1998,8,28
"Re-Solve, Inc.",47.71,1,Dartmouth,Massachusetts,41.688061,-71.033889,no,no,1982,12,30,1983,9,8,1998,8,19
Rose Disposal Pit,33.03,1,Lanesboro,Massachusetts,42.5055,-73.2748,no,no,1984,10,15,1986,6,10,1994,9,20
Silresim Chemical Corp.,42.72,1,Lowell,Massachusetts,42.628889,-71.313889,no,no,1982,12,30,1983,9,8,2011,8,3
"W.R. Grace & Co., Inc. (Acton Plant)",59.31,1,Acton,Massachusetts,42.45055,-71.427781,no,no,1982,12,30,1983,9,8,2012,2,8
Wells G&H,42.71,1,Woburn,Massachusetts,42.494719,-71.130839,no,no,1982,12,30,1983,9,8,0,0,0
Haverhill Municipal Landfill,30.29,1,Haverhill,Massachusetts,42.753889,-71.046669,no,no,1984,10,15,1986,6,10,0,0,0
Iron Horse Park,42.93,1,Billerica,Massachusetts,42.583331,-71.265269,no,no,1983,9,8,1984,9,21,0,0,0
Sullivan's Ledge,32.77,1,New Bedford,Massachusetts,41.654719,-70.957219,no,no,1983,9,8,1984,9,21,2000,9,29
McKin Co.,60.97,1,Gray,Maine,43.8841,-70.2942,no,no,1982,12,30,1983,9,8,1992,3,24
Saco Municipal Landfill,29.49,1,Saco,Maine,43.5302,-70.4815,no,no,1988,6,24,1990,2,21,2000,9,29
Winthrop Landfill,35.62,1,Winthrop,Maine,44.275831,-69.988331,no,no,1982,12,30,1983,9,8,1997,12,23
Brunswick Naval Air Station,43.38,1,Brunswick,Maine,43.90634,-69.933986,yes,no,1984,10,15,1987,7,22,2002,9,27
Loring Air Force Base,34.49,1,Limestone,Maine,46.944444,-67.883888,yes,no,1989,7,14,1990,2,21,2001,3,23
Auburn Road Landfill,36.3,1,Londonderry,New Hampshire,42.9302,-71.3529,no,no,1982,12,30,1983,9,8,1998,4,3
Dover Municipal Landfill,36.98,1,Dover,New Hampshire,43.2125,-70.953,no,no,1982,12,30,1983,9,8,2012,9,6
Keefe Environmental Services,65.19,1,Epping,New Hampshire,43.024169,-71.033331,no,no,1982,12,30,1983,9,8,1993,6,10
Ottati & Goss/Kingston Steel Drum,53.41,1,Kingston,New Hampshire,42.897219,-71.080561,no,no,1982,12,30,1983,9,8,2008,9,19
Somersworth Sanitary Landfill,65.56,1,Somersworth,New Hampshire,43.2489,-70.8845,no,no,1982,12,30,1983,9,8,2005,9,9
Tinkham Garage,43.24,1,Londonderry,New Hampshire,42.860831,-71.351111,no,no,1982,12,30,1983,9,8,1995,4,7
Kearsarge Metallurgical Corp.,38.45,1,Conway,New Hampshire,43.9721,-71.1293,no,no,1983,9,8,1984,9,21,1993,9,24
Savage Municipal Water Supply,37.52,1,Milford,New Hampshire,42.8418,-71.6884,no,no,1983,9,8,1984,9,21,2006,9,12
South Municipal Water Supply Well,35.64,1,Peterborough,New Hampshire,42.8489,-71.9468,no,no,1983,9,8,1984,9,21,1994,12,15
Coakley Landfill,29.16,1,North Hampton,New Hampshire,43.001111,-70.817219,no,no,1984,10,15,1986,6,10,1999,9,29
Tibbetts Road,41.09,1,Barrington,New Hampshire,43.18,-71.0347,no,no,1985,4,10,1986,6,10,1998,9,29
Mottolo Pig Farm,40.7,1,Raymond,New Hampshire,42.989581,-71.173189,no,no,1985,4,10,1987,7,22,1993,9,30
Davis Liquid Waste,47.25,1,Smithfield,Rhode Island,41.922219,-71.577769,no,no,1982,12,30,1983,9,8,0,0,0
"Stamina Mills, Inc.",34.07,1,North Smithfield,Rhode Island,41.9964,-71.5647,no,no,1982,12,30,1983,9,8,2000,8,9
"Landfill & Resource Recovery, Inc. (L&RR)",49.58,1,North Smithfield,Rhode Island,41.9795,-71.589,no,no,1982,12,30,1983,9,8,1997,2,24
"Peterson/Puritan, Inc.",40.1,1,"Cumberland, Lincoln",Rhode Island,41.929581,-71.4268,no,yes,1982,12,30,1983,9,8,0,0,0
Western Sand & Gravel,51.35,1,Burrillville,Rhode Island,41.9727,-71.595,no,no,1982,12,30,1983,9,8,1992,12,22
Central Landfill,46.71,1,Johnston,Rhode Island,41.808331,-71.534719,no,no,1984,10,15,1986,6,10,2006,9,28
Old Springfield Landfill,34.79,1,Springfield,Vermont,43.272781,-72.466669,no,no,1982,12,30,1983,9,8,1994,9,22
Parker Sanitary Landfill,52.29,1,Lyndon,Vermont,44.518611,-71.989439,no,no,1988,6,24,1990,2,21,2005,9,30
A. O. Polymer,28.91,2,Sparta Township,New Jersey,41.04805,-74.63,no,yes,1982,12,30,1983,9,8,1998,5,8
American Cyanamid Co.,50.28,2,Bound Brook,New Jersey,40.555561,-74.55945,no,yes,1982,12,30,1983,9,8,0,0,0
Bog Creek Farm,43.23,2,Howell Township,New Jersey,40.150831,-74.161111,no,no,1982,12,30,1983,9,8,1994,6,30
Brick Township Landfill,58.13,2,Brick Township,New Jersey,40.1098,-74.1311,no,no,1982,12,30,1983,9,8,2014,7,14
Bridgeport Rental & Oil Services,60.73,2,Bridgeport,New Jersey,39.801669,-75.321661,no,no,1982,12,30,1983,9,8,0,0,0
Burnt Fly Bog,59.16,2,Marlboro Township,New Jersey,40.375,-74.279169,no,no,1982,12,30,1983,9,8,2004,9,21
Caldwell Trucking Co.,58.3,2,Fairfield,New Jersey,40.876389,-74.271389,no,no,1982,12,30,1983,9,8,0,0,0
Chemical Control,47.13,2,Elizabeth,New Jersey,40.6432,-74.1935,no,no,1982,12,30,1983,9,8,1994,6,30
"Chemsol, Inc.",42.69,2,Piscataway,New Jersey,40.5625,-74.443339,no,no,1982,12,30,1983,9,8,0,0,0
Combe Fill South Landfill,45.22,2,Chester Township,New Jersey,40.771669,-74.738331,no,no,1982,12,30,1983,9,8,0,0,0
CPS/Madison Industries,69.73,2,Old Bridge Township,New Jersey,40.434439,-74.327769,no,no,1982,12,30,1983,9,8,0,0,0
D'Imperio Property,55.79,2,Hamilton Township,New Jersey,39.454439,-74.658889,no,no,1982,12,30,1983,9,8,2004,9,22
Dover Municipal Well 4,28.9,2,Dover,New Jersey,40.8858,-74.5423,no,no,1982,12,30,1983,9,8,2010,9,24
Ellis Property,34.62,2,Evesham Township,New Jersey,39.905,-74.864719,no,no,1982,12,30,1983,9,8,2000,9,27
Evor Phillips Leasing,36.64,2,Old Bridge Township,New Jersey,40.4375,-74.325,no,no,1982,12,30,1983,9,8,0,0,0
Fair Lawn Well Field,42.49,2,Fair Lawn,New Jersey,40.9375,-74.131939,no,no,1982,12,30,1983,9,8,0,0,0
GEMS Landfill,68.53,2,Gloucester Township,New Jersey,39.77945,-75.018889,no,no,1982,12,30,1983,9,8,1999,9,30
Goose Farm,47.71,2,Plumstead Township,New Jersey,40.09555,-74.4975,no,no,1982,12,30,1983,9,8,1993,6,30
"Hercules, Inc. (Gibbstown Plant)",40.36,2,Gibbstown,New Jersey,39.838889,-75.277781,no,no,1982,12,30,1983,9,8,0,0,0
"Imperial Oil Co., Inc./Champion Chemicals",33.87,2,Morganville,New Jersey,40.383889,-74.245831,no,no,1982,12,30,1983,9,8,0,0,0
JIS Landfill,45.14,2,"Jamesburg, South Brunswick Township",New Jersey,40.365831,-74.465281,no,no,1982,12,30,1983,9,8,2009,9,29
Kin-Buc Landfill,50.64,2,Edison Township,New Jersey,40.4891,-74.3785,no,no,1982,12,30,1983,9,8,2001,9,28
King of Prussia,47.19,2,Winslow Township,New Jersey,39.62695,-74.889439,no,no,1982,12,30,1983,9,8,1995,9,29
Helen Kramer Landfill,72.66,2,Mantua Township,New Jersey,39.7801,-75.2003,no,no,1982,12,30,1983,9,8,1993,6,30
Lang Property,48.89,2,Pemberton Township,New Jersey,39.929161,-74.49445,no,no,1982,12,30,1983,9,8,1995,9,13
Lipari Landfill,75.6,2,Pitman,New Jersey,39.720281,-75.141939,no,no,1982,12,30,1983,9,8,2018,9,26
Lone Pine Landfill,66.33,2,Freehold Township,New Jersey,40.202781,-74.333339,no,no,1982,12,30,1983,9,8,1994,9,22
Maywood Chemical Co.,51.19,2,"Maywood, Rochelle Park",New Jersey,40.8964,-74.0693,no,no,1982,12,30,1983,9,8,0,0,0
Metaltec/Aerosystems,48.95,2,Franklin Borough,New Jersey,41.109719,-74.599719,no,no,1982,12,30,1983,9,8,2009,6,18
Montgomery Township Housing Development,37.93,2,Montgomery Township,New Jersey,40.408331,-74.644169,no,no,1982,12,30,1983,9,8,2005,8,24
Myers Property,33.83,2,Franklin Township,New Jersey,40.595,-74.9404,no,no,1982,12,30,1983,9,8,2005,9,28
NL Industries,52.96,2,Pedricktown,New Jersey,39.758061,-75.424719,no,no,1982,12,30,1983,9,8,0,0,0
PJP Landfill,28.73,2,Jersey City,New Jersey,40.734719,-74.085561,no,no,1982,12,30,1983,9,8,0,0,0
Reich Farms,53.48,2,Pleasant Plains,New Jersey,40.0106,-74.2149,no,no,1982,12,30,1983,9,8,1998,9,22
Rockaway Borough Well Field,42.34,2,Rockaway Township,New Jersey,40.905831,-74.515561,no,no,1982,12,30,1983,9,8,2015,4,13
Rockaway Township Wells,28.9,2,Rockaway Township,New Jersey,40.913331,-74.499169,no,no,1982,12,30,1983,9,8,2005,9,21
Rocky Hill Municipal Well,37.93,2,Rocky Hill Borough,New Jersey,40.401669,-74.6475,no,no,1982,12,30,1983,9,8,2005,8,24
Roebling Steel Co.,41.02,2,Florence,New Jersey,40.120831,-74.770839,no,no,1982,12,30,1983,9,8,0,0,0
Scientific Chemical Processing,55.97,2,Carlstadt,New Jersey,40.82454,-74.074329,no,no,1982,12,30,1983,9,8,0,0,0
Sharkey Landfill,48.85,2,"Parsippany, Troy Hills",New Jersey,40.8501,-74.3454,no,no,1982,12,30,1983,9,8,2004,3,9
Swope Oil & Chemical Co.,35.68,2,Pennsauken Township,New Jersey,39.9886,-75.0347,no,no,1982,12,30,1983,9,8,2015,9,4
Syncon Resins,43.43,2,South Kearny,New Jersey,40.737781,-74.114719,no,no,1982,12,30,1983,9,8,2019,9,26
Ciba-Geigy Corp.,50.33,2,Toms River,New Jersey,39.9867,-74.2363,no,no,1982,12,30,1983,9,8,2012,9,26
Universal Oil Products (Chemical Division),54.63,2,East Rutherford,New Jersey,40.83,-74.088889,no,no,1982,12,30,1983,9,8,0,0,0
U.S. Radium Corp.,37.79,2,Orange,New Jersey,40.781389,-74.228611,no,yes,1982,12,30,1983,9,8,2006,9,28
Williams Property,40.45,2,Swainton,New Jersey,39.1173,-74.8004,no,no,1982,12,30,1983,9,8,1995,9,15
Woodland Route 72 Dump,31.17,2,Woodland Township,New Jersey,39.821669,-74.447781,no,no,1983,9,8,1984,9,21,2004,8,13
"Chemical Leaman Tank Lines, Inc.",47.53,2,Bridgeport,New Jersey,39.798331,-75.332781,no,no,1983,9,8,1984,9,21,2019,9,9
De Rewal Chemical Co.,35.72,2,Kingwood Township,New Jersey,40.5162,-75.0614,no,no,1983,9,8,1984,9,21,2003,9,16
Diamond Alkali Co.,35.4,2,Newark,New Jersey,40.739719,-74.136111,no,no,1983,9,8,1984,9,21,0,0,0
Ewan Property,50.19,2,Shamong Township,New Jersey,39.802781,-74.719439,no,no,1983,9,8,1984,9,21,1999,9,27
Landfill & Development Co.,33.62,2,Mount Holly,New Jersey,39.980561,-74.770839,no,no,1983,9,8,1984,9,21,2010,9,27
Nascolite Corp.,51.13,2,Millville,New Jersey,39.422219,-75.032781,no,no,1983,9,8,1984,9,21,2003,9,30
"Radiation Technology, Inc.",42.56,2,Rockaway Township,New Jersey,40.970831,-74.50555,no,no,1983,9,8,1984,9,21,0,0,0
Shieldalloy Corp.,58.75,2,Newfield Borough,New Jersey,39.543061,-75.022219,no,no,1983,9,8,1984,9,21,0,0,0
Woodland Route 532 Dump,34.98,2,Woodland Township,New Jersey,39.829169,-74.492231,no,no,1983,9,8,1984,9,21,2003,12,31
"Vineland Chemical Co., Inc.",59.16,2,Vineland,New Jersey,39.510281,-75.056661,no,no,1983,9,8,1984,9,21,0,0,0
Ventron/Velsicol,51.38,2,Woodridge Borough,New Jersey,40.84,-74.079439,no,no,1983,9,8,1984,9,21,0,0,0
Cinnaminson Township (Block 702) Ground Water Contamination,37.93,2,Cinnaminson Township,New Jersey,40.0175,-74.9862,no,no,1984,10,15,1986,6,10,0,0,0
Fried Industries,33.61,2,East Brunswick Township,New Jersey,40.4424,-74.4412,no,no,1984,10,15,1986,6,10,2012,9,13
"Waldick Aerospace Devices, Inc.",44.86,2,Wall Township,New Jersey,40.143,-74.0613,no,no,1984,10,15,1986,6,10,2008,9,30
Naval Weapons Station Earle (Site A),29.65,2,Colts Neck,New Jersey,40.264581,-74.162919,yes,no,1984,10,15,1990,8,30,0,0,0
Naval Air Engineering Center,50.53,2,Lakehurst,New Jersey,40.029719,-74.369161,yes,no,1985,9,18,1987,7,22,2004,9,22
